Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
154;Felices Fiestas! https://t.co/aaLAVK5JY4;Santiago Peña;2021-12-24T20:01:24.000Z;Fri Dec 24 20:01:24 +0000 2021;714;105;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;video
1442;Felices Pascuas! Ya volverán los momentos donde podremos compartir con padres, hermanos, abuelos y amigos. Hoy nos toca celebrar esta pascua en casa. #YoMeQuedoEnCasa;Santiago Peña;2020-04-12T20:11:09.000Z;Sun Apr 12 20:11:09 +0000 2020;793;51;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;None
1839;Felicidades @cgfernandezv por la excelente gestión al frente del @BCP_PY un honor haber trabajado a tu lado estos 5 años https://t.co/m0QujZodK4;Santiago Peña;2018-08-09T18:13:21.000Z;Thu Aug 09 18:13:21 +0000 2018;491;53;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;2;photo
1252;Felicidades @MauricioCard y todo el pueblo colombiano por estas excelentes noticias. Ingreso a la @ocdeenespanol es un gran paso que los ubica entre los lideres a nivel mundial https://t.co/nEXyjjzZgy;Santiago Peña;2018-05-26T01:21:10.000Z;Sat May 26 01:21:10 +0000 2018;103;17;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/mauriciocard/status/1000169236260687873 ;0;2;None
2144;Felicidades @netanyahu por la victoria en las elecciones. Paraguay siempre será un aliado de Israel, una nación a la que estamos unidos por un histórico sentimiento de hermandad.;Santiago Peña;2022-11-03T22:31:05.000Z;Thu Nov 03 22:31:05 +0000 2022;432;74;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;None
2847;Felicidades a @felipelarrain por el reconocimiento como el mejor Ministro de Hacienda de las Américas por @TheBanker Durante varios años Felipe y @RodrigoCerdaM colaboraron con @Haciendapy de Paraguay en materia de política fiscal. https://t.co/mV3ccPfcQj;Santiago Peña;2019-01-02T23:35:27.000Z;Wed Jan 02 23:35:27 +0000 2019;136;22;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/felipelarrain/status/1080477139684724736 ;0;4;None
2023;Felicidades a la @UIPjoven por el lanzamiento de la campaña 2018 #paraguayocomovos en alianza con el @MIC_PY y #Capasu Que este tipo de iniciativas a favor del Paraguay y los paraguayos sirvan de ejemplo para unirnos como país https://t.co/eL6RqLvyUT;Santiago Peña;2018-07-19T21:17:52.000Z;Thu Jul 19 21:17:52 +0000 2018;245;55;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/marca_py/status/1020030968248389632 ;2;2;None
709;Felicidades a todo el equipo de #LasHerederas, en especial para #AnaBrun y al productor Sebastian Peña. El cine paraguayo nunca más será lo mismo luego de este reconocimiento https://t.co/IqpFUGUux6;Santiago Peña;2018-02-26T00:10:44.000Z;Mon Feb 26 00:10:44 +0000 2018;464;86;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;2;0;photo
1738;Felicidades al pueblo brasilero y a @LulaOficial por la elección de hoy. Si Dios lo permite trabajaremos juntos para fortalecer lazos entre nuestras naciones.;Santiago Peña;2022-10-30T23:46:28.000Z;Sun Oct 30 23:46:28 +0000 2022;1112;122;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;None
822;Felicidades Carlos! Un orgullo como paraguayo, no solo que hayas estudiado en esa Universidad sino que hoy puedas enseñar a otros estudiantes. Una muestra más que los paraguayos podemos. https://t.co/UJCk9phjls;Santiago Peña;2022-03-28T19:41:08.000Z;Mon Mar 28 19:41:08 +0000 2022;336;40;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/cgfernandezv/status/1508492638181552136 ;0;0;None
